GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,RCPTOT,PAYANN,PAYQTR1,EMP,ADMIN_PCT,IMPUT_PCT
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,"Revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,Percent of revenue from administrative records (%),Percent of revenue estimated (%)
0500000US17001,17001,"Adams County, Illinois",52,Finance and insurance,2012,148,N,D,D,g,N,N
0500000US17001,17001,"Adams County, Illinois",522,Credit intermediation and related activities,2012,67,N,D,D,f,N,N
0500000US17001,17001,"Adams County, Illinois",5221,Depository credit intermediation,2012,48,N,D,D,f,N,N
0500000US17001,17001,"Adams County, Illinois",52211,Commercial banking,2012,38,Q,D,D,f,Q,Q
0500000US17001,17001,"Adams County, Illinois",522110,Commercial banking,2012,38,Q,D,D,f,Q,Q
0500000US17001,17001,"Adams County, Illinois",5221101,National commercial banks (banking),2012,10,Q,D,D,c,Q,Q
0500000US17001,17001,"Adams County, Illinois",5221102,State commercial banks (banking),2012,28,Q,D,D,e,Q,Q
0500000US17001,17001,"Adams County, Illinois",52212,Savings institutions,2012,1,Q,D,D,a,Q,Q
0500000US17001,17001,"Adams County, Illinois",522120,Savings institutions,2012,1,Q,D,D,a,Q,Q
0500000US17001,17001,"Adams County, Illinois",5221201,"Savings institutions, federally chartered",2012,1,Q,D,D,a,Q,Q
0500000US17001,17001,"Adams County, Illinois",52213,Credit unions,2012,9,D,D,D,b,D,D
0500000US17001,17001,"Adams County, Illinois",522130,Credit unions,2012,9,D,D,D,b,D,D
0500000US17001,17001,"Adams County, Illinois",5221309,"Credit unions, not federally chartered",2012,9,D,D,D,b,D,D
0500000US17001,17001,"Adams County, Illinois",5222,Nondepository credit intermediation,2012,14,D,D,D,b,D,D
0500000US17001,17001,"Adams County, Illinois",52222,Sales financing,2012,1,D,D,D,a,D,D
0500000US17001,17001,"Adams County, Illinois",522220,Sales financing,2012,1,D,D,D,a,D,D
0500000US17001,17001,"Adams County, Illinois",52229,Other nondepository credit intermediation,2012,13,D,D,D,b,D,D
0500000US17001,17001,"Adams County, Illinois",522291,Consumer lending,2012,8,D,D,D,b,D,D
0500000US17001,17001,"Adams County, Illinois",522292,Real estate credit,2012,2,D,D,D,a,D,D
0500000US17001,17001,"Adams County, Illinois",5222929,Mortgage bankers and loan correspondents,2012,1,D,D,D,a,D,D
